chart_id,chart_type,status,question,explanation,operation_spec,feedback,updated_at
3z678inbp0t89ahu,multipleLine,pending,In how many years was the difference between Disatisfied and Satisfied less than the difference between their means?,"1. First, compute the mean percentage for Dissatisfied across all years and the mean percentage for Satisfied across all years, then take the difference between these two means (this gives the _ifference between their means). 
2. Next, for each year, compute the yearly difference (Dissatisfied  Satisfied). 
3. Finally, count the years where this yearly difference is less than the mean-difference. 
4. Those years are 2007, 2008, 2012, 2013, and 2014, giving a total of 5 years.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Response"",""operator"":""=="",""value"":""Dissatisfied""},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Percentage_of_Respondents""},{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":1},""field"":""Response"",""operator"":""=="",""value"":""Satisfied""},{""op"":""average"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":1},""field"":""Percentage_of_Respondents""},{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":1},""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":true}],""ops2"":[{""op"":""pairDiff"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[],""sentenceIndex"":2},""groupA"":""Dissatisfied"",""groupB"":""Satisfied"",""field"":""Percentage_of_Respondents"",""signed"":true}],""ops3"":[{""op"":""filter"",""id"":""n7"",""meta"":{""nodeId"":""n7"",""inputs"":[""n6"",""n5""],""sentenceIndex"":3},""operator"":""<"",""value"":""ref:n5""},{""op"":""count"",""id"":""n8"",""meta"":{""nodeId"":""n8"",""inputs"":[""n7""],""sentenceIndex"":3}}]}",,2026-05-22T14:45:34Z
3un2wyjae3ebkncl,multipleLine,pending,"What is the average of the Internet, where the value of the year is higher than that of Radio and lower than that of Newspaper?","1. For each year, compare the Internet value to Radio and Newspaper. 
2. Keep only the years where Internet is higher than Radio and lower than Newspaper: 2004 (Internet 24, Radio 21, Newspaper 46), 2006 (24, 14, 36), and 2007 (24, 13, 34). 
3. Then average the Internet values from those years: (24 + 24 + 24) / 3 = 24.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""groupA"":""Internet"",""groupB"":""Radio"",""field"":""Share_of_Respondents"",""signed"":true},{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""operator"":"">"",""value"":0}],""ops2"":[{""op"":""pairDiff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""groupA"":""Newspaper"",""groupB"":""Internet"",""field"":""Share_of_Respondents"",""signed"":true},{""op"":""filter"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3"",""n2""],""sentenceIndex"":2},""operator"":"">"",""value"":0}],""ops3"":[{""op"":""filter"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4""],""sentenceIndex"":3},""field"":""Source"",""operator"":""=="",""value"":""Internet""},{""op"":""average"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n5""],""sentenceIndex"":3},""field"":""Share_of_Respondents""}]}",,2026-05-22T14:45:43Z
1xz4egh52kvh2xwx,stackedBar,pending,Is the sum of the orange and red values __rom 2017 to 2020 greater than the US value in 2020?,"1. In the stacked bars, the orange and red segments correspond to Canada and Other International. 
2. Sum their values across 20172020: (18,775 + 16,361) + (20,689 + 18,601) + (21,366 + 19,583) + (22,434 + 22,185) = 159,994. 
3. Compare this to the U.S. value in 2020, which is 122,142. 
4. Since 159,994 is greater than 122,142, the sum is greater, so the correct response to the question as stated (_reater than?) is No.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Region"",""include"":[""Canada"",""Other International""]},{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Year"",""include"":[""2017"",""2018"",""2019"",""2020""]},{""op"":""sum"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":1},""field"":""Total_Revenue_Million_USD""}],""ops2"":[{""op"":""filter"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[],""sentenceIndex"":2},""field"":""Region"",""operator"":""=="",""value"":""US""},{""op"":""retrieveValue"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4""],""sentenceIndex"":2},""target"":""2020"",""field"":""Year""}],""ops3"":[{""op"":""compareBool"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n3"",""n5""],""sentenceIndex"":3},""operator"":"">"",""targetA"":""ref:n3"",""targetB"":""ref:n5""}]}",,2026-05-22T14:45:27Z
7272hodb02i6e09q,simpleLine,pending,What is the difference between the maximum before 2014 and the maximum after 2014?,"1. Identify the years before 2014 (20092013) and find the maximum population growth there, which is 2.76. 
2. Then look at the years after 2014 (20152019) and find the maximum, which is 2.73. 
3. Subtract the two maxima to get the difference: 2.76  2.73 = 0.03.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""operator"":""<"",""value"":""2014""},{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Population growth compared to previous year"",""which"":""max""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Year"",""operator"":"">"",""value"":""2014""},{""op"":""findExtremum"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Population growth compared to previous year"",""which"":""max""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":true}]}",,2026-05-22T14:45:37Z
1y6itl6f2ho959ec,stackedBar,pending,How many countries have higher red and orange values than Chile?,"1. Interpret the _ed and orange values as the two opinion segments _isapproves and _o answer. 
2. For Chile, these are 0.68 (Disapproves) and 0.16 (No answer). 
3. Compare each country_ Disapproves and No answer values to Chile_ and count those that are higher in both: Central America & Caribbean (0.49, 0.18), Argentina (0.47, 0.26), Brazil (0.58, 0.23), and Colombia (0.74, 0.20). 
4. This gives a total of 4 countries.","{""ops"":[{""op"":""retrieveValue"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""target"":""Chile"",""group"":""Disapproves"",""field"":""Share_of_Respondents""},{""op"":""retrieveValue"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":1},""target"":""Chile"",""group"":""No answer"",""field"":""Share_of_Respondents""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Share_of_Respondents"",""group"":""Disapproves"",""operator"":"">"",""value"":""ref:n1""},{""op"":""filter"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3"",""n2""],""sentenceIndex"":2},""field"":""Share_of_Respondents"",""group"":""No answer"",""operator"":"">"",""value"":""ref:n2""}],""ops3"":[{""op"":""count"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4""],""sentenceIndex"":3}}]}",,2026-05-22T15:47:59Z
4ldjaoujpydpkbu5,multipleLine,pending,In how many years was the difference between Female and Male higher than average?,"1. Compute the Female_ale difference for each year (Male minus Female). 
2. Then calculate the average of these yearly differences across all years. 
3. Compare each year_ difference to this average and count the years where the difference is larger than the average; this happens in 2010, 2011, 2012, 2014, and 2015, totaling 5 years.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""groupA"":""Male"",""groupB"":""Female"",""field"":""Inhabitants in millions"",""signed"":true}],""ops2"":[{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2}}],""ops3"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":3},""operator"":"">"",""value"":""ref:n2""},{""op"":""count"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":3}}]}",,2026-05-22T14:46:00Z
0k75gqf8ckjikdym,groupedBar,pending,For which year was the difference between the average age at marriage for men and women the lowest?,"1. For each year, compare the male and female average ages at marriage and compute the gap (male minus female). 
2. The smallest gap occurs in 2010, where men are 37.2 and women are 33.6, giving a difference of 3.6 years, which is lower than the differences in all other years.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""groupA"":""Male"",""groupB"":""Female"",""field"":""Average age at marriage"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""min""}]}",,2026-05-22T14:45:57Z
1p4nnba4568wza9n,multipleLine,pending,How many times did the dominant opinion change?,"1. For each year, compare the _ood and _ad percentages to see which one is higher (the dominant opinion). 
2. _ood is dominant in 20072008, _ad becomes dominant in 20092010, and then _ood becomes dominant again from 20112017. 
3. The dominant opinion therefore switches from Good_ad once (between 2008 and 2009) and from Bad_ood once (between 2010 and 2011), for a total of 2 changes.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""groupA"":""Good"",""groupB"":""Bad"",""field"":""Percentage"",""signed"":true}],""ops2"":[{""op"":""monotonicRun"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""mode"":""all"",""orderField"":""Year""}],""ops3"":[{""op"":""count"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3}}]}",,2026-05-22T15:59:20Z
0gzowodb2py0d1s9,stackedBar,pending,For how many years was Thailand's revenue higher than the revenue of the Philippines?,"1. Compare Thailand_ revenue to the Philippines revenue year by year. 
2. Thailand is lower in 2016 (189.3 vs 211.6), 2017 (113.78 vs 283.35), 2018 (157.86 vs 270.1), and 2019 (165.92 vs 235.92). 
3. Thailand is higher in 2020 (230.22 vs 221.57) and 2021 (251.41 vs 166.73). 
4. That makes 2 years where Thailand is higher.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""groupA"":""Thailand"",""groupB"":""Philippines"",""field"":""Revenue_Million_USD"",""signed"":true}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""operator"":"">"",""value"":0},{""op"":""count"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":2}}]}",,2026-05-22T15:57:49Z
0nmj7sdej4cipma7,stackedBar,pending,Which country had the most significant difference in net sales between the years 2019 and 2020?,"1. Compare each segment_ net sales in 2019 versus 2020 and compute the absolute change. 
2. North America changes from 1686.5 to 1598.2 (a difference of 88.3), International changes from 492.2 to 502.8 (10.6), and Retail changes from 388.5 to 385.6 (2.9). 
3. The largest difference is for North America.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""groupA"":""2019"",""groupB"":""2020"",""field"":""Net Sales"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max""}]}",,2026-05-22T15:47:59Z
0i9bxppwocx0tyop,simpleBar,pending,How many employees did they have on average between the years 2008 to 2011?,"1. Take the employee counts for the years 2008, 2009, 2010, and 2011 (70600, 74300, 80200, 72400). 
2. Add these four values together and divide by 4 to get the average, which is 74,375 employees.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""include"":[""2008"",""2009"",""2010"",""2011""]}],""ops2"":[{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Number of employees""}]}",,2026-05-22T14:46:08Z
0lua5jsw92d3enb4,groupedBar,pending,How many diet types surpased the threshold of 0.03% in 2019.,"1. Look at the 2019 _hare of respondents values for each diet type and count those strictly greater than 0.03. 
2. The diet types above 0.03 in 2019 are: Clean eating (0.10), Intermittent fasting (0.09), Gluten-free diet (0.06), Low-carb diet (0.06), Ketogenic or high-fat diet (0.06), Plant-based diet (0.05), Weight-loss plan (0.05), Mediterranean diet (0.05), and Paleo Diet (0.07). 
3. That makes 9 diet types.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""operator"":""=="",""value"":""2019""}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Share of respondents"",""operator"":"">"",""value"":0.03}],""ops3"":[{""op"":""count"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3}}]}",,2026-05-22T15:58:06Z
0iv07908ph6y6ifj,simpleBar,pending,What was the average of active users from March '16 to March '19?,"1. Take the active-user values for the dates from March 16 through March 19: 60, 70, 80, and 94 (in millions). 
2. Add these four numbers and divide by 4 to get the mean, which equals 76 million.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Date"",""include"":[""Mar '16"",""Mar '17"",""Mar '18"",""Mar '19""]}],""ops2"":[{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Active users in millions""}]}",,2026-05-22T14:46:19Z
1jabqwjz9pmd7qwz,simpleLine,pending,What was the median number of facilities between the years 2010 and 2019?,"1. Select the values from 2010 through 2019 (266, 319, 285, 260, 270, 259, 270, 253, 324, 221). 
2. Sort them in ascending order (221, 253, 259, 260, 266, 270, 270, 285, 319, 324). 
3. Since there are 10 values, the median is the average of the 5th and 6th values (266 and 270), which gives 269.5.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""include"":[""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019""]}],""ops2"":[{""op"":""sort"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Number of facilities"",""order"":""asc""}],""ops3"":[{""op"":""nth"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3},""n"":5,""from"":""left"",""orderField"":""Number of facilities""},{""op"":""nth"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n2""],""sentenceIndex"":3},""n"":6,""from"":""left"",""orderField"":""Number of facilities""}],""ops4"":[{""op"":""add"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n3"",""n4""],""sentenceIndex"":4},""targetA"":""ref:n3"",""targetB"":""ref:n4"",""field"":""Number of facilities""},{""op"":""scale"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n5""],""sentenceIndex"":4},""target"":""ref:n5"",""factor"":0.5}]}",,2026-05-22T14:46:39Z
1sf5c8wqw1192q6b,simpleLine,pending,On how many dates was the growth rate below the average?,"1. First, compute the average growth rate across all 12 months in 2018. 
2. Then compare each month_ value to this average and count the months that are lower than it. 
3. The months below the average are Feb (0.7), Mar (0.7), Apr (0.9), Nov (1.1), and Dec (0.9), giving a total of 5 dates.","{""ops"":[{""op"":""average"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Growth rate of HICP (%)""}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""operator"":""<"",""value"":""ref:n1"",""field"":""Growth rate of HICP (%)""}],""ops3"":[{""op"":""count"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3}}]}",,2026-05-22T14:46:23Z
1vh62ks9wweck6m2,multipleLine,pending,In which year did men and women reported the most similar stress level?,"1. Compare men_ and women_ stress values year by year and compute the absolute difference for each year. 
2. The smallest gap occurs in 2007, where women reported 6.3 and men reported 6.0 (a difference of 0.3), which is lower than the differences in all other years.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""groupA"":""Men"",""groupB"":""Women"",""field"":""Level_of_Stress"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""min""}]}",,2026-05-22T14:46:37Z
0jbrb1dcbliiampz,simpleBar,pending,How many years had investments over 22 Billion Euros in the years 2011 to 2014 ?,"1. Look at the investments for each year from 2011 to 2014: 2011 = 37, 2012 = 27.6, 2013 = 15.3, 2014 = 37.5. 
2. Count the years where the value is greater than 22: 2011, 2012, and 2014 qualify, while 2013 does not. 
3. This gives a total of 3 years.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""include"":[""2011"",""2012"",""2013"",""2014""]}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Investments in Billion Euros"",""operator"":"">"",""value"":22}],""ops3"":[{""op"":""count"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3}}]}",,2026-05-22T15:01:04Z
0ufvwi9xv37e597q,stackedBar,pending,Which season has the biggest gap between Matchday and Commercial?,"1. For each season, compare the Matchday revenue to the Commercial revenue and compute the absolute difference (the _ap). 
2. Then identify which season has the largest difference. 
3. The biggest gap occurs in 2018/19, where Commercial (151.9) is much higher than Matchday (92.5), giving the largest separation among all seasons.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""groupA"":""Matchday"",""groupB"":""Commercial"",""field"":""Revenue_Million_Euros"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max""}]}",,2026-05-22T14:46:52Z
0oinwvo88bvvs25b,groupedBar,pending,What was the difference between maximum value of women and men?,"1. Identify the maximum share for women across all services (0.37 in the Army) and the maximum share for men across all services (0.40 in the Army). 
2. Subtract the women_ maximum from the men_ maximum to get the difference: 0.40  0.37 = 0.03.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Gender"",""operator"":""=="",""value"":""Men""},{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Share of women and men"",""which"":""max""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Gender"",""operator"":""=="",""value"":""Women""},{""op"":""findExtremum"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Share of women and men"",""which"":""max""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":true}]}",,2026-05-22T14:46:41Z
1vni31fp2ii7wz68,simpleLine,pending,Which year showed the highest drop?,"1. Group the months by year (2020 vs 2021). 
2. For each year, compare the first month_ value to the last month_ value to measure the overall drop within that year. 
3. In 2020 the value falls from 10.78 (May 20) to 5.04 (Dec 20), a much larger decrease than in 2021, which falls from 4.70 (Jan 21) to 4.17 (May 21). 
4. Therefore, 2020 shows the highest drop.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Month"",""include"":[""May '20"",""Jun '20"",""Jul '20"",""Aug '20"",""Sep '20"",""Oct '20"",""Nov '20"",""Dec '20""]},{""op"":""pairDiff"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""groupA"":""May '20"",""groupB"":""Dec '20"",""field"":""Number in millions"",""signed"":true}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Month"",""include"":[""Jan '21"",""Feb '21"",""Mar '21"",""Apr '21"",""May '21""]},{""op"":""pairDiff"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""groupA"":""Jan '21"",""groupB"":""May '21"",""field"":""Number in millions"",""signed"":true}],""ops3"":[{""op"":""compareBool"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""operator"":"">"",""targetA"":""ref:n2"",""targetB"":""ref:n4""}]}",,2026-05-22T15:47:59Z
20gpvz4ylu4olrm7,multipleLine,pending,What is the average difference between Women and Men from 2000?,"1. Look at the years from 2000 onward (2000, 2004, 2008, 2012). 
2. For each of these years, subtract Men from Women to get the gender gap: 2000 = 5442 = 12, 2004 = 5144 = 7, 2008 = 5649 = 7, 2012 = 5545 = 10. 
3. Then take the average of these four differences: (12 + 7 + 7 + 10) ÷ 4 = 9.2 percentage points.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""include"":[""2000"",""2004"",""2008"",""2012""]}],""ops2"":[{""op"":""pairDiff"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""groupA"":""Women"",""groupB"":""Men"",""field"":""Percentage"",""signed"":true}],""ops3"":[{""op"":""average"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3}}]}",,2026-05-22T14:46:55Z
0k7bm9iqewnrzj47,simpleBar,pending,Is the average of the top three bigger than doubled of the lowest three?,"1. Identify the three highest production values (374, 351.7, 312.1) and compute their average. 
2. Then identify the three lowest values (104.3, 181.6, 209.7), compute their average, and double it. 
3. Comparing the two results shows the top-three average is smaller than twice the lowest-three average.","{""ops"":[{""op"":""sort"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Production in million liters"",""order"":""desc""},{""op"":""nth"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""n"":1,""from"":""left""},{""op"":""nth"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1""],""sentenceIndex"":1},""n"":2,""from"":""left""},{""op"":""nth"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n1""],""sentenceIndex"":1},""n"":3,""from"":""left""},{""op"":""average"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n3"",""n4""],""sentenceIndex"":1}}],""ops2"":[{""op"":""sort"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[],""sentenceIndex"":2},""field"":""Production in million liters"",""order"":""asc""},{""op"":""nth"",""id"":""n7"",""meta"":{""nodeId"":""n7"",""inputs"":[""n6""],""sentenceIndex"":2},""n"":1,""from"":""left""},{""op"":""nth"",""id"":""n8"",""meta"":{""nodeId"":""n8"",""inputs"":[""n6""],""sentenceIndex"":2},""n"":2,""from"":""left""},{""op"":""nth"",""id"":""n9"",""meta"":{""nodeId"":""n9"",""inputs"":[""n6""],""sentenceIndex"":2},""n"":3,""from"":""left""},{""op"":""average"",""id"":""n10"",""meta"":{""nodeId"":""n10"",""inputs"":[""n7"",""n8"",""n9""],""sentenceIndex"":2}},{""op"":""scale"",""id"":""n11"",""meta"":{""nodeId"":""n11"",""inputs"":[""n10""],""sentenceIndex"":2},""target"":""ref:n10"",""factor"":2.0}],""ops3"":[{""op"":""compareBool"",""id"":""n12"",""meta"":{""nodeId"":""n12"",""inputs"":[""n5"",""n11""],""sentenceIndex"":3},""operator"":"">"",""targetA"":""ref:n5"",""targetB"":""ref:n11""}]}",,2026-05-22T14:46:57Z
0vfqjaxeiv96ww7g,stackedBar,pending,What is the difference between white and black who answer more than most of all time?,"1. _ore than most of the time corresponds to the _lmost all of the time category. 
2. From the data, White is 10% and Black is 26% for _lmost all of the time. 
3. Subtracting 10 from 26 gives a difference of 16 percentage points.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Discussion Frequency"",""operator"":""=="",""value"":""Almost all of the time""}],""ops2"":[{""op"":""pairDiff"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""groupA"":""Black"",""groupB"":""White"",""field"":""Percentage"",""signed"":true}]}",,2026-05-22T15:47:59Z
0opt5fjw2xphdgp2,groupedBar,pending,Which group shows the highest value in the sum of occasionally and infrequently answered?,"1. Take each race/ethnicity group_ _ccasionally share and add it to its _nfrequently share. 
2. Compare these sums across groups: White (0.40 + 0.48 = 0.88), Hispanic (0.43 + 0.30 = 0.73), African_merican (0.41 + 0.37 = 0.78), and Other (0.47 + 0.37 = 0.84). 
3. The largest total is for White (0.88).","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Frequency"",""include"":[""Occasionally"",""Infrequently""]}],""ops2"":[{""op"":""sum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Share of respondents"",""group"":""Race""}],""ops3"":[{""op"":""findExtremum"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3},""which"":""max""}]}",,2026-05-22T14:48:08Z
