"#","chart_type","chart_id","all_id","question","explanation","operation_spec","status","author_note","updated_at"
"1","line_simple","2jromeq5u9lloh1s","line_simple_2jromeq5u9lloh1s","Which years has the biggest jump?","1. Get the difference between every year
2. Get the extremum ","{""ops"":[{""op"":""lagDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Audience_Millions""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max""}]}","pending","",""
"66","line_simple","0cymcilknp8krjwz","line_simple_0cymcilknp8krjwz","What is the difference between the sum of the values above 4.0 and the sum of the values below 2.5?","Find the line of 4.0.
Add the values of the dots above 4.0.
Find the line of 2.5.
Add the values of the dots below 2.5.
Find the difference between the two values.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Average price in US dollars"",""operator"":"">"",""value"":4.0},{""op"":""sum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Average price in US dollars""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Average price in US dollars"",""operator"":""<"",""value"":2.5},{""op"":""sum"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Average price in US dollars""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":false}]}","pending","",""
"67","bar_simple","0abj8blv663ussbr","bar_simple_0abj8blv663ussbr","What is the difference between 2010 and 2020 values?","Find the value for 2010.
Find the value for 2020.
Find the difference between the two values.","{""ops"":[{""op"":""retrieveValue"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""target"":""2010""},{""op"":""retrieveValue"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":2},""field"":""Year"",""target"":""2020""}],""ops3"":[{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":3},""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":false}]}","pending","diff(2010,2020). retrieveValue targets are exact x labels.",""
"68","bar_simple","0cad2xfrwdgvo9zk","bar_simple_0cad2xfrwdgvo9zk","What is the sum of the three median values for each year?","List the values ​​for each year in descending order.
Find the three medians.
Add those values.","{""ops"":[{""op"":""sort"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Number of fatalities"",""order"":""asc""}],""ops2"":[{""op"":""nth"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""n"":5},{""op"":""nth"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1""],""sentenceIndex"":2},""n"":6},{""op"":""nth"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n1""],""sentenceIndex"":2},""n"":7}],""ops3"":[{""op"":""add"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n3""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n3""},{""op"":""add"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n5"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n5"",""targetB"":""ref:n4""}]}","pending","n=11; 'three median values' = the 3 central ascending values (5th,6th,7th) summed. sort+nth(5,6,7)+add+add.",""
"69","line_simple","0gr1c2jcthc8h9f6","line_simple_0gr1c2jcthc8h9f6","What is the difference between a value for a year with a score value between 6.2 and 5.8 and a value for a year with a score value below 4.8?","Find values for years with values between 6.2 and 5.8.
Find the value of the year with the value below 4.8.
Find the difference between the two values.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Risk index score"",""operator"":"">="",""value"":5.8},{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Risk index score"",""operator"":""<="",""value"":6.2},{""op"":""findExtremum"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":1},""which"":""max"",""field"":""Risk index score""}],""ops2"":[{""op"":""filter"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[],""sentenceIndex"":2},""field"":""Risk index score"",""operator"":""<"",""value"":4.8},{""op"":""findExtremum"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4""],""sentenceIndex"":2},""which"":""max"",""field"":""Risk index score""}],""ops3"":[{""op"":""diff"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n3"",""n5""],""sentenceIndex"":3},""targetA"":""ref:n3"",""targetB"":""ref:n5"",""signed"":false}]}","pending","",""
"70","bar_stacked","001dao0mq0pplbzj","bar_stacked_001dao0mq0pplbzj","What year has the biggest difference between commercial and matchday?","Get the difference between the Commercial and the Matchday for each year.
Find the year with the maximum difference.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""Year"",""groupA"":""Commercial"",""groupB"":""Matchday"",""seriesField"":""Revenue_Type"",""field"":""Revenue_Million_USD"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max""}]}","pending","",""
"71","bar_simple","0a5npu4o61dz4r5f","bar_simple_0a5npu4o61dz4r5f","What is the difference between the countries with the highest and lowest images?"," Find the highest damage value.
Find the lowest damage value.
Get the difference between the two values","{""ops"":[{""op"":""findExtremum"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""which"":""max"",""field"":""Damage (in billion US dollars)""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":2},""which"":""min"",""field"":""Damage (in billion US dollars)""}],""ops3"":[{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":3},""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":false}]}","pending","diff(highest,lowest) damage; 3-step explanation -> max, min, diff (could also be range).",""
"72","bar_grouped","07lo3vvwztz32ifq","bar_grouped_07lo3vvwztz32ifq","What is the sum of the values with the highest and lowest percentage differences for each year?","Find the difference in values between the years in each region.
List the values in descending order.
Sum the highest and lowest values.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""Region"",""groupA"":""2010"",""groupB"":""2009"",""seriesField"":""Year"",""field"":""Net_Sales_Percentage"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max"",""field"":""Net_Sales_Percentage""},{""op"":""findExtremum"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""min"",""field"":""Net_Sales_Percentage""}],""ops3"":[{""op"":""add"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n2"",""n3""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n3""}]}","pending","Per-region year-to-year diff, then sum of the highest and lowest of those diffs -> pairDiff(by=Region) then findExtremum max + min + add.",""
"73","bar_stacked","075i5mfewy2uvwej","bar_stacked_075i5mfewy2uvwej","What is the difference between the service value in 2010 and the service value in 2020?","Find the service value for 2010.
Find the service value for 2020.
Find the difference between the two values.","{""ops"":[{""op"":""retrieveValue"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""target"":""2010"",""field"":""Share_of_Total_Employment"",""group"":""Services""},{""op"":""retrieveValue"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":1},""target"":""2020"",""field"":""Share_of_Total_Employment"",""group"":""Services""}],""ops2"":[{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":2},""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":false}]}","pending","",""
"74","line_simple","08x3crju85yix5ab","line_simple_08x3crju85yix5ab","How many years have a score below 80 in total?","Find the value of 80.
Find the points below the 80-value line.
Count the number of dots.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""CPI_Score"",""operator"":""<"",""value"":80}],""ops2"":[{""op"":""count"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2}}]}","pending","",""
"75","bar_stacked","004fhteah0l9kud2","bar_stacked_004fhteah0l9kud2","What is the difference between the average of Commercial and the average of Matchday?","1. Add all the Commercial values for each year.
2. Divide the value by six.
3. Add all the values of the matchday for each year.
4. Divide the value by six.
5. Find the difference between the two computed values.","{""ops"":[{""op"":""average"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Revenue_Million_Euros"",""group"":""Commercial""}],""ops2"":[{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":2},""field"":""Revenue_Million_Euros"",""group"":""Matchday""}],""ops3"":[{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":3},""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":false}]}","pending","",""
"76","line_multiple","0bunvsqd54e3qahz","line_multiple_0bunvsqd54e3qahz","What is the difference between the female value in 2010 and the male value in 2016?","Find the female value for 2010.
Find the male value for 2016.
Find the difference between the two values.","{""ops"":[{""op"":""retrieveValue"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""target"":""2010"",""field"":""Life expectancy at birth in years"",""group"":""female""},{""op"":""retrieveValue"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":1},""target"":""2016"",""field"":""Life expectancy at birth in years"",""group"":""male""}],""ops2"":[{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":2},""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":true}]}","pending","",""
"77","bar_grouped","0bgcjlbz7nv5vnjc","bar_grouped_0bgcjlbz7nv5vnjc","What is the average value of the difference between the three years with the largest difference between age groups?","Find the difference in values for each year.
Sort the values in descending order.
Find the top 3 years with the highest difference.
Divide the values by three.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""Period"",""groupA"":""11–15 years"",""groupB"":""5–10 years"",""seriesField"":""AgeGroup"",""field"":""SharePercentage"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max"",""rank"":1,""field"":""SharePercentage""},{""op"":""findExtremum"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max"",""rank"":2,""field"":""SharePercentage""},{""op"":""findExtremum"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max"",""rank"":3,""field"":""SharePercentage""}],""ops3"":[{""op"":""add"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n3""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n3""},{""op"":""add"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n5"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n5"",""targetB"":""ref:n4""},{""op"":""scale"",""id"":""n7"",""meta"":{""nodeId"":""n7"",""inputs"":[""n6""],""sentenceIndex"":3},""target"":""ref:n6"",""factor"":0.3333333333333333}]}","pending","Average of the 3 largest per-period |age-group| diffs -> pairDiff(by=Period, abs), top-3 via findExtremum(max, rank 1..3), add+add+scale(1/3). (rank-based per GOLD bar_simple 0baf5ch9; cand's nth-list returns only the first.)",""
"78","line_multiple","08iur64i01boakg5","line_multiple_08iur64i01boakg5","Which year has the highest difference in values between Male and Female?","Find the difference between the male and female percentages for each year.
Sort the values in descending order.
Choose the highest value.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""Year"",""groupA"":""Male"",""groupB"":""Female"",""seriesField"":""Gender"",""field"":""Percentage of 25 to 29 year olds"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max"",""field"":""Percentage of 25 to 29 year olds""}]}","pending","",""
"79","bar_stacked","05qg5ubxklojfze7","bar_stacked_05qg5ubxklojfze7","Which one has the highest percentage sum between major and minor?","Find the sum of the major and minor problems of each of the problems.
Find the highest value among them.","","empty","GAP: per-x (per-problem) sum of two series (Major+Minor) then max over problems — group-by-key-aggregate-then-extremum; not expressible (sum collapses across all keys).",""
"80","line_multiple","0b9o2vahkw2a1bxy","line_multiple_0b9o2vahkw2a1bxy","What is the difference between the value of the year with the highest percentage of no and the value of the year with the third highest percentage of yes?","Sort the percentage values that answered no for each year in descending order.
Find the highest value.
Sort the percentage values that answered Yes for each year in descending order.
Find the third-highest value.
Find the difference between the two values obtained.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""group"":""No""},{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max"",""field"":""Share of respondents""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":3},""group"":""Yes""},{""op"":""sort"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":4},""field"":""Share of respondents"",""order"":""desc""},{""op"":""nth"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4""],""sentenceIndex"":4},""n"":3,""from"":""left""}],""ops3"":[{""op"":""diff"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n2"",""n5""],""sentenceIndex"":5},""targetA"":""ref:n2"",""targetB"":""ref:n5"",""signed"":false}]}","pending","",""
"81","bar_simple","0v0l4wdbx7orkqz1","bar_simple_0v0l4wdbx7orkqz1","Which is more, the number of suicides under the age of 30 or over the age of 70?","- Filters the number of suicides under the age of 30 and over the age of 70, respectively.
- Add each value within each filtered group.
- Compare the magnitude of the total of each group.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Age group"",""include"":[""15–19"",""20–24"",""25–29""]},{""op"":""sum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Suicides per 100,000 population""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Age group"",""include"":[""70–74"",""75–79"",""80–84"",""85–89"",""90+""]},{""op"":""sum"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Suicides per 100,000 population""}],""ops3"":[{""op"":""compareBool"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""operator"":"">"",""targetA"":""ref:n2"",""targetB"":""ref:n4""}]}","pending","under-30 = age bands 15-19,20-24,25-29; over-70 = 70-74..90+. include-filter each band set -> sum -> compareBool(>). x labels use en-dash exactly as in x_vals.",""
"82","bar_stacked","14jud3ymyoonba4e","bar_stacked_14jud3ymyoonba4e","Which sector accounted for the largest portion of this chart as a whole?","- Add all year values for each sector by sector
- Find the largest value by comparing the sum of values for each sector added","","empty","GAP: per-series total across all years then max over series (which series sums highest) — group-by-series-aggregate-then-extremum; not expressible in the 18-op grammar.",""
"83","bar_grouped","0vw6ydim9cff8ji6","bar_grouped_0vw6ydim9cff8ji6","In which year did construction record the highest percentage?","- Compare the percentage values for all years in the construction sector to each other","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Industry Sector"",""include"":[""Construction""]},{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""which"":""max"",""field"":""Share of SMEs""}]}","pending","Construction sector across all periods, pick the highest -> filter Industry Sector=Construction (via include, the executor-verified way to select an other-dim category) then findExtremum max, both in the single explanation step. (x/series=Period; the selecting dimension is Industry Sector.) Verified: -> Q2 2019 = 0.22.",""
"84","line_simple","5lhrulhnl0io2r81","line_simple_5lhrulhnl0io2r81","How many months were the month when the producer price index was lower than 210 in total?","- Compare that the price index was lower than 210 for each month
- Counting the number of all low months","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Producer Price Index (100=2009)"",""operator"":""<"",""value"":210}],""ops2"":[{""op"":""count"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2}}]}","pending","",""
"85","line_multiple","2hjkdo5w242alvjd","line_multiple_2hjkdo5w242alvjd","Was the period from 2006 to 2011 longer than the period when people were more likely to be satisfied than the period when they were dissatisfied?","- Filter responses only from 2006 to 2011
- Count the number of years over 50% of the respondents said they were satisfied
- Check the number is greater than 3","","empty","GAP: compares the fixed window 2006-2011 length against the count of satisfied-dominant years; the final boolean hinges on an external constant ('greater than 3') not derived from the data.",""
"86","bar_simple","0vmvmj77j3p6vcy7","bar_simple_0vmvmj77j3p6vcy7","What is the net income sum from 2010 to 2015?","- Filters data from 2010 to 2015
- Add all filtered data.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""operator"":""between"",""value"":[""2010"",""2015""]},{""op"":""sum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Net income in USD""}]}","pending","net income sum 2010-2015 (filter between -> sum).",""
"87","bar_stacked","174uq759pluu079w","bar_stacked_174uq759pluu079w","What is the sum of Sony's rankings for 2017 and 2018?","- Filtering from 2017 to 2018
- Find the ranking for each year of Sony
- Add each rank","{""ops"":[{""op"":""retrieveValue"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""target"":""2017"",""field"":""Shipments_Million_Units"",""group"":""Sony""},{""op"":""retrieveValue"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":1},""target"":""2018"",""field"":""Shipments_Million_Units"",""group"":""Sony""}],""ops2"":[{""op"":""add"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":2},""targetA"":""ref:n1"",""targetB"":""ref:n2""}]}","pending","Q says 'rankings' but the chart measure is shipments; explanation adds the two Sony values.",""
"88","bar_grouped","0w5jptak9peti0mj","bar_grouped_0w5jptak9peti0mj","How many years in total did APAC have the lowest annual revenue?","- Check APAC's ranking for all years.
- Count the number of years in which APAC ranks lowest.","","empty","GAP: count years where APAC is the lowest of the three regions -> per-year min (group-by Year, min over Region) then membership test (is it APAC?) then count. No group-by-extremum nor per-key argmin op in the 18-op grammar.",""
"89","line_simple","5po479f2ju9lqv16","line_simple_5po479f2ju9lqv16","What is the total from 2011 to 2017?","- Filters data from 2011 to 2017
- Add all filtered data","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""operator"":""between"",""value"":[""2011"",""2017""]}],""ops2"":[{""op"":""sum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Inhabitants in billions""}]}","pending","",""
"90","line_multiple","2kmpy10btl65kr2j","line_multiple_2kmpy10btl65kr2j","What is the average of the percentage of responses in the last three years of Favourable views of the US?","- Filters data from 2015 to 2017
- Average the the percentage of responses of Favourable views of U.S from filtered data","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""operator"":""between"",""value"":[""2015"",""2017""],""group"":""Favorable view of US""},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Percentage_of_Respondents""}]}","pending","",""
"91","bar_simple","0vqxnzu0mpbz12ch","bar_simple_0vqxnzu0mpbz12ch","Which of the differences between 2018 and 2019 or the differences between 2023 and 2025 is the bigger value?","- Calculate the difference between 2019 and 2018, the difference between 2025 and 2023
- Compare which of each difference is greater","{""ops"":[{""op"":""retrieveValue"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""target"":""2018""},{""op"":""retrieveValue"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""target"":""2019""},{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":1},""targetA"":""ref:n2"",""targetB"":""ref:n1"",""signed"":false}],""ops2"":[{""op"":""retrieveValue"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[],""sentenceIndex"":2},""field"":""Year"",""target"":""2023*""},{""op"":""retrieveValue"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[],""sentenceIndex"":2},""field"":""Year"",""target"":""2025*""},{""op"":""diff"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n4"",""n5""],""sentenceIndex"":2},""targetA"":""ref:n5"",""targetB"":""ref:n4"",""signed"":false}],""ops3"":[{""op"":""compareBool"",""id"":""n7"",""meta"":{""nodeId"":""n7"",""inputs"":[""n3"",""n6""],""sentenceIndex"":3},""operator"":"">"",""targetA"":""ref:n3"",""targetB"":""ref:n6""}]}","pending","compare two differences; 2023/2025 labels carry a trailing '*' in x_vals (2023*, 2025*). compareBool(>).",""
"92","bar_stacked","19xwo5oscmgpcdyl","bar_stacked_19xwo5oscmgpcdyl","What the average of the agricultural values for all years in which the value of industry is greater than 0.2?","- Find all years in which the value of indusrtry is greater than 0.2.
- Average the agricultural values for all years found.","","empty","GAP: select years where one series exceeds a threshold, then average a DIFFERENT series over those years (cross-series conditional aggregate). After filter(group=A,>v) the working set has only series-A rows, so series-B cannot be averaged over the selected years. (Q/E also use field names not present in this chart's series: Coal/Gas/Oil.)",""
"93","bar_grouped","0wgqpso2vnilpym6","bar_grouped_0wgqpso2vnilpym6","Is the difference between Alaska's 2000 value and 2020 value greater than Total's 2020 minus 2000 value?","- Subtract Alaska's 2020 value from Alaska's 2000 value
- Subtract Total's 2000 value from Total's 2020 value
- Compare each","{""ops"":[{""op"":""retrieveValue"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""target"":""Alaska"",""field"":""Production in million barrels per day"",""group"":""2000""},{""op"":""retrieveValue"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":1},""target"":""Alaska"",""field"":""Production in million barrels per day"",""group"":""2020""},{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":1},""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":false}],""ops2"":[{""op"":""retrieveValue"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[],""sentenceIndex"":2},""target"":""Total"",""field"":""Production in million barrels per day"",""group"":""2020""},{""op"":""retrieveValue"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[],""sentenceIndex"":2},""target"":""Total"",""field"":""Production in million barrels per day"",""group"":""2000""},{""op"":""diff"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n4"",""n5""],""sentenceIndex"":2},""targetA"":""ref:n4"",""targetB"":""ref:n5"",""signed"":true}],""ops3"":[{""op"":""compareBool"",""id"":""n7"",""meta"":{""nodeId"":""n7"",""inputs"":[""n3"",""n6""],""sentenceIndex"":3},""operator"":"">"",""targetA"":""ref:n3"",""targetB"":""ref:n6""}]}","pending","|Alaska(2000)-Alaska(2020)| vs (Total 2020 - Total 2000); compareBool >. x=Region (Alaska/Total are x labels), series=Year.",""
"94","line_simple","651x1l1swysyy6vp","line_simple_651x1l1swysyy6vp","When was the fifth highest percentage of the values on the chart?","- Sort in order of percent higher
- Check the date of the fifth highest percentage.","{""ops"":[{""op"":""sort"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Share of respondents who are worried"",""order"":""desc""}],""ops2"":[{""op"":""nth"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""n"":5}]}","pending","",""
"95","line_multiple","2s65jcap9pn289qx","line_multiple_2s65jcap9pn289qx","What is the sum of the differences between women and men in the last five years?","- Filter data from 2016 to 2020
- Find both the differences between women and men in the filtered data.
- Add all the values","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""operator"":""between"",""value"":[""2016"",""2020""]}],""ops2"":[{""op"":""pairDiff"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""by"":""Year"",""groupA"":""Female"",""groupB"":""Male"",""seriesField"":""Gender"",""field"":""Population_Million_Inhabitants"",""signed"":true}],""ops3"":[{""op"":""sum"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3},""field"":""Population_Million_Inhabitants""}]}","pending","sum of the per-year differences (not avg*n).",""
"96","bar_simple","0vvz9mdgdiazke5o","bar_simple_0vvz9mdgdiazke5o","What the average of values from 2012 to 2015?","- Filter data from 2012 to 2015
- Add all the values from filtered data","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""operator"":""between"",""value"":[""2012"",""2015""]},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Gross payment volume in billion USD""}]}","pending","Q asks the average 2012-2015; explanation says 'add all' but question is average -> used average (guide rule 1).",""
